前因变量,典型评论1,典型评论2,典型评论3
自我提升,扯淡，要是这套真的能完美运行，为啥还要套一个某某名字的壳呢？反正飞书里的所有聊天记录公司都能看到，直接训练一个公司层级的ai助手就好了啊。,你要说复刻声音，其实留声机就可以做到，只是AI多了一个海量的学习声库，它只是参照你需要的发声内容到声库里找一些最接近的频率和响度的声音通过高算力剪辑拼接出同样声线的声音，你可以自己录一段音频，然后快速点击播放和暂停，那短短的0.03秒的声音其实可以从很多别的音频里找到完全一样的，,有完整视频资源或者其他学习elastic资源推荐嘛，这对我真的很重要[给心心]
成本效益,免费的用自己形象给软件模型库测试,二、如何使用B站的AIJC创作工具B g n studio定制数字分身，包括外形和音色生成的数字分身。该工具完全免费且安全可靠。,"OpenAI和Google只是表面不让你玩,但口子都留出来的,你只要别想着占小便宜,随便你用."
情感需求,00:27 弹幕发“霉子平替”的过分了吧，我一直觉得说像谁谁谁完全没问题，对于一个不熟悉的人/物，大脑会自动联想熟悉的人/物方便记忆，完全可以理解，但是“平替”这词也太不尊重人了吧[微笑],claude是我目前用过能力最夸张的模型，它对任务的理解和编程很厉害,Ai真的很好用，也许它不能代替真实的人，但在很多无人回应的时刻，GPT确实给了你一点陪伴和支撑。♆
好奇心/尝鲜,我倒觉得阿莫戴的思想挺浪漫的，opus也确实是这个世界上最强最好用的模型（个人体验是没有之一），这段时间的迭代也让人看到了AI可能带来的安全性问题，并且他作为一家公司的创始人，他自然有权利决定这家公司的价值观，说他自负反而是自己自负的表现。另外，真需要用opus的自然还是很轻松的能用到的...,这种反华真恶心，但是claude是真的强，我这两天把在它上面建的skill、project、工作流、成果都默默下载下来，看看还有哪个AI可以接盘[笑哭],CLI只能放在虚拟机里玩，否则给你拼接出一个 rm -rf /home 之类的命令就好玩了（AI不一定是故意的，知名的bumblebee rm -rf /usr错误就是误加空格导致的）。相比之下C/S模式的MCP更安全，大模型无法调用MCP服务器未提供的功能，服务器可以做精细的权限控制。
技术信任,二、如何使用B站的AIJC创作工具B g n studio定制数字分身，包括外形和音色生成的数字分身。该工具完全免费且安全可靠。,claude是我目前用过能力最夸张的模型，它对任务的理解和编程很厉害,我倒觉得阿莫戴的思想挺浪漫的，opus也确实是这个世界上最强最好用的模型（个人体验是没有之一），这段时间的迭代也让人看到了AI可能带来的安全性问题，并且他作为一家公司的创始人，他自然有权利决定这家公司的价值观，说他自负反而是自己自负的表现。另外，真需要用opus的自然还是很轻松的能用到的...
完美主义,扯淡，要是这套真的能完美运行，为啥还要套一个某某名字的壳呢？反正飞书里的所有聊天记录公司都能看到，直接训练一个公司层级的ai助手就好了啊。,我想问问up主和网友们，企业老板们因为AI和机器人的发展将劳动者都裁员了，那谁来买企业的产品（服务），因为劳动者也是消费者，在不发钱的情况下，将劳动者消灭了，不也是同时在消灭消费者吗？我看有评论说，未来AI和机器人会当消费者，可是AI和机器人几乎是个完美的“人”，一个完美的“人”会有很多商品（服务）需求吗？恐怕看见商品（服务）时会说这个不要，那个不要吧？一个完美的“人”不是更容易淘汰有机人类吗[鸭科夫_干嘛鸭]如果不能解决这个问题，我真的觉得很可怕，天要塌的那种[撇嘴],OpenAI的GPT可以说是国外中文本地化最好的ai了，网页版全部中文汉化，官网也汉化了。
社交技能不足,百炼的声音复刻我不管是直接录制还是上传音源，都复刻不成功。提示模型调用失败，关掉这个提示窗口后又有一个网络请求失败，不知道怎么搞了。,我的一个使用ai的感触就是：现在不管怎么样 vibe coding 不管模型多强，都还是在Junior Level 最多 mid level的级别。这种skills本质上就是一个非常宽泛技巧总结。最有价值的还是你脑子的东西，如果用户自己是一个senior Level的角色，那么它就能很清楚的拆解这个问题，给出非常具体的指导方针给到ai，而不是什么泛泛之谈，这个时候ai往往会充当一个很合格的junior engineer output出一个非常符合你预期的结果，反之如果你是一个没太有编程基础的人，ai 的 编程技巧大于你，那么你就会被牵着鼻子走，它给的结果看上去可能是好的，但是你不知道有什么潜在问题。,Codex模型强，而且额度比claude code 慷慨不知道多少，那claude code 一次对话给我干了7%周限额，吓哭了[笑哭]
懒惰/便利,和你之前发的那个ChatGPTsovits呢？之前你推荐过那个后我简单研究过用过几次，对比起来怎么样？[doge_金箍],"我想问下，必剪的数字人定制和使用数字人都不用费用吗？\n""",00:27 弹幕发“霉子平替”的过分了吧，我一直觉得说像谁谁谁完全没问题，对于一个不熟悉的人/物，大脑会自动联想熟悉的人/物方便记忆，完全可以理解，但是“平替”这词也太不尊重人了吧[微笑]
时间成本,你要说复刻声音，其实留声机就可以做到，只是AI多了一个海量的学习声库，它只是参照你需要的发声内容到声库里找一些最接近的频率和响度的声音通过高算力剪辑拼接出同样声线的声音，你可以自己录一段音频，然后快速点击播放和暂停，那短短的0.03秒的声音其实可以从很多别的音频里找到完全一样的，,举一个最简单的例子，可能不太恰当。大部分后端程序员都知道通过id查询数据库如果是要查询多个的话，肯定是要写一个专门batch query的sql。但是可能ai突然就抽风了发现有一个findById就循环的调用了，那如果用户没有这个知识，就发现不了这个问题了。所以说 ai 提升工作效率的上限是由在使用的你决定的。你的经验往往比宽泛的prompt/skills更加重要。现在比较悲伤的一点就是ai的能力是比junior高的，现在的程序员又非常依赖ai vibe coding，有些人编程中没有自己的思考。那么这些人就永远没有进步，很难从 junior 变成 senior。,AI帮我把效率这件事拿捏住了。✿
社交效率,啊我们法语老师推荐的歌,你要说复刻声音，其实留声机就可以做到，只是AI多了一个海量的学习声库，它只是参照你需要的发声内容到声库里找一些最接近的频率和响度的声音通过高算力剪辑拼接出同样声线的声音，你可以自己录一段音频，然后快速点击播放和暂停，那短短的0.03秒的声音其实可以从很多别的音频里找到完全一样的，,和你之前发的那个ChatGPTsovits呢？之前你推荐过那个后我简单研究过用过几次，对比起来怎么样？[doge_金箍]
