主题编号,主题名称,文档数,占比(%),主题解释,Top10关键词,详细关键词
0,AI数字人应用,964,12.59,AI在短剧、数字人等娱乐内容创作中的应用,"ai, 03, 真的, 短剧, 数字, 很多, 真人, 40, 还是, 已经","['ai', '03', '真的', '短剧', '数字', '很多', '真人', '40', '还是', '已经']"
1,AI技术演进,826,10.78,GPT等技术的发展历程和版本迭代,"2026, GPT, CEO, Pro, 2024, 12, la, 400, 16, 2023","['2026', 'GPT', 'CEO', 'Pro', '2024', '12', 'la', '400', '16', '2023']"
2,AI工具生态,509,6.65,AI skill、GitHub等开发者工具和生态,"39, de, skill, Elys, 28, es, GitHub, IP, Champs, 70","['39', 'de', 'skill', 'Elys', '28', 'es', 'GitHub', 'IP', 'Champs', '70']"
3,AI模型对比,578,7.55,deepseek、PPT等AI模型和工具的比较,"11, 10, 30, 2025, 20, deepseek, PPT, doge, Ai, 23","['11', '10', '30', '2025', '20', 'deepseek', 'PPT', 'doge', 'Ai', '23']"
4,AI产品参数,762,9.95,具体AI产品的技术参数和配置讨论,"quot, M7, DMH, CLTC, 160km, mCDC, 126mm, iF, 527L, 15","['quot', 'M7', 'DMH', 'CLTC', '160km', 'mCDC', '126mm', 'iF', '527L', '15']"
5,AI Agent平台,517,6.75,AI Agent、视频生成、3D、API等平台能力,"ai, Meta, Agent, 视频, 3D, API, 生成, 推荐, 支持, 平台","['ai', 'Meta', 'Agent', '视频', '3D', 'API', '生成', '推荐', '支持', '平台']"
6,AI社交互动,1234,16.11,AI在社交聊天、工作替代等场景的应用,"ai, 人类, 数字, 就是, 工作, 聊天, 现在, 不会, 只是, 因为","['ai', '人类', '数字', '就是', '工作', '聊天', '现在', '不会', '只是', '因为']"
7,AI模型品牌,399,5.21,Claude、OpenAI、ChatGPT等主流AI模型讨论,"Claude, OpenClaw, OpenAI, ChatGPT, APP, Anthropic, 14, agent, le, Code","['Claude', 'OpenClaw', 'OpenAI', 'ChatGPT', 'APP', 'Anthropic', '14', 'agent', 'le', 'Code']"
8,AI训练与人类,1125,14.69,AI模型训练、语言学习与人类关系,"模型, 就是, Igor, 数字, 如果, 训练, 语言, 人类, 需要, 公司","['模型', '就是', 'Igor', '数字', '如果', '训练', '语言', '人类', '需要', '公司']"
9,AI社交问题,745,9.73,AI在社交场景中的问题和讨论,"ai, 问题, 100, 不是, 社交, 觉得, 就是, 现在, 我们, 知道","['ai', '问题', '100', '不是', '社交', '觉得', '就是', '现在', '我们', '知道']"
